"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",21.3530752671771,1.7861815323077,0.302387463992933,5.90692983340553,3.48542112467542e-09,2.51240991351923e-08
"MIR6859-1",62.5555733785611,1.61705516268277,0.246837772378583,6.55108473512977,5.71206340575559e-11,5.62687011282877e-10
"MIR1302-2HG",6.65547023607837,1.54981340866058,0.357391218583331,4.33646191645086,1.44794500214939e-05,5.23202885812887e-05
"CICP27",111.270777304911,2.04869971760539,0.310238404098745,6.603630274456,4.01209402505445e-11,4.06085652905797e-10
"RP11-34P13.15",214.09551717695,1.99436444843793,0.338933829901378,5.884229523557,3.99912546000958e-09,2.85125041661687e-08
"RP11-34P13.16",146.010008161054,1.46435248957829,0.279857303168801,5.23249696540897,1.67235399552319e-07,8.7596446155795e-07
"RP11-34P13.14",30.2916378524216,1.50478296165148,0.306890549643588,4.90332127658893,9.42296772918183e-07,4.26160568296063e-06
"RNU6-1100P",0.949444113690055,1.97856731346792,0.567575652917459,3.48599751116466,0.0004903055664921,0.00129922428484723
"RP11-34P13.9",2.73746807077338,2.13635901655652,0.489256191430728,4.36654467327063,1.26227480403432e-05,4.61545731453753e-05
"ABC7-43046700E7.1",12.7588134229708,1.39155695900751,0.382456530310677,3.63847090773199,0.00027426160215185,0.000764703436534375
"MIR6859-2",56.3578163588582,1.71778517098633,0.235272729043328,7.30125067181067,2.85105005706504e-13,4.19940116833464e-12
"RP11-34P13.18",1663.60788452338,1.07741745614139,0.19444676208819,5.540938015994,3.00855703704545e-08,1.80917686448476e-07
"RP4-669L17.2",1.42229179004875,2.66287803591637,0.656751170794093,4.05462244200741,5.0215342651152e-05,0.000162668223707916
"SEPT14P13",3.64127427374956,1.74160441433211,0.398060345190344,4.3752271116062,1.21306112373076e-05,4.44807656863829e-05
"CICP7",22.7560980457234,1.16204269164719,0.245584022579228,4.73175200667746,2.22590252439603e-06,9.37031581368826e-06
