gene_id	colors
RP11-465B22.8	turquoise
TTLL10-AS1	turquoise
TNFRSF18	turquoise
MXRA8	turquoise
ANKRD65	turquoise
PLCH2.1	turquoise
LINC00982	turquoise
RBP7	turquoise
TNFRSF1B	turquoise
PDPN	turquoise
RP11-5P18.5	blue
C1orf64	blue
MFAP2	turquoise
PADI2	turquoise
PADI3.1	grey
ACTL8	grey
IGSF21	turquoise
KLHDC7A	blue
PAX7	grey
PLA2G2A	turquoise
PLA2G2D	brown
UBXN10	turquoise
ALPL	turquoise
EPHA8	turquoise
C1QA	turquoise
C1QC	turquoise
CD52	brown
CD164L2	turquoise
NKAIN1	blue
CSMD2	turquoise
GJB5	grey
GJB3	grey
GJA4	turquoise
COL8A2	turquoise
RSPO1	turquoise
EPHA10	blue
EDN2	turquoise
TMEM125	turquoise
TIE1	turquoise
TSPAN1	blue
CYP4Z2P	blue
CYP4X1	turquoise
TAL1	turquoise
TRABD2B	turquoise
TTC39A-AS1	blue
RP11-334A14.5	turquoise
PODN	turquoise
MROH7	turquoise
PCSK9	grey
KANK4	turquoise
SGIP1	turquoise
PTGER3	turquoise
ERICH3	turquoise
SLC44A5	grey
IFI44L	turquoise
IFI44	turquoise
ADGRL4	turquoise
GBP1	turquoise
GBP4	turquoise
GBP5	turquoise
VCAM1	turquoise
S1PR1	turquoise
COL11A1	turquoise
NTNG1	turquoise
NBPF4	turquoise
RP11-483I13.2	grey
SLC25A24P1	grey
NBPF5P	grey
RP11-131J3.1	grey
NBPF6	turquoise
KCND3	blue
OLFML3	turquoise
HMGCS2	blue
RP11-433J22.2	turquoise
GJA5	turquoise
HORMAD1	grey
TCHH	grey
IVL	grey
SPRR1B	grey
S100A9	grey
S100A8	grey
S100A7A	grey
S100A7	grey
S100A2	grey
S100A14	grey
S100A1	turquoise
NPR1	turquoise
TDRD10	turquoise
MUC1	blue
RP11-284F21.9	blue
RP11-284F21.10	blue
NES	turquoise
CRABP2	grey
FCRL5	brown
FCRL3	brown
FCRL2	brown
FCRL1	brown
KIRREL	grey
CD1C	turquoise
CADM3	turquoise
ACKR1	turquoise
CADM3-AS1	turquoise
LINC01133	grey
SLAMF6	brown
LY9	brown
NECTIN4	turquoise
ADAMTS4	turquoise
HSPA6	turquoise
HSPA7	turquoise
FCGR2B	turquoise
FCRLA	brown
RGS5	turquoise
CD247	brown
RCSD1	turquoise
DPT	turquoise
SELP	turquoise
SELL	brown
SELE	turquoise
RP1-79C4.4	turquoise
PRRX1	turquoise
FMO2	turquoise
TNN	turquoise
TDRD5	turquoise
HMCN1	turquoise
BRINP3	grey
RGS1	turquoise
CFH	turquoise
ASPM	grey
LHX9	grey
PKP1	turquoise
TNNT2	grey
LAD1	grey
LMOD1	turquoise
LGR6	turquoise
MYBPH	turquoise
CHI3L1	turquoise
FMOD	turquoise
PRELP	turquoise
NFASC	turquoise
BLACAT1	grey
LEMD1	grey
SLC26A9	grey
C1orf186	turquoise
IL20	blue
PIGR	turquoise
CR2	brown
CD34	turquoise
LAMB3	grey
G0S2	turquoise
SYT14	grey
CAPN8	blue
STUM	turquoise
PGBD5	grey
CAPN9	blue
GNG4	grey
NID1	turquoise
LINC01139	grey
KIF26B.1	turquoise
AKR1C1	grey
AKR1C2	grey
CALML5	turquoise
RP11-116G8.5	turquoise
CALML3	turquoise
LINP1	grey
LINC00707	grey
ITIH5	turquoise
RP11-379F12.4	blue
GATA3-AS1	blue
GATA3	blue
RP11-428L9.1	blue
RP11-428L9.2	blue
CELF2	turquoise
CCDC3	turquoise
FAM171A1	turquoise
ITGA8	turquoise
VIM-AS1	turquoise
RP11-124N14.3	turquoise
VIM	turquoise
ST8SIA6-AS1	blue
MALRD1	blue
GPR158	grey
MYO3A	turquoise
APBB1IP	turquoise
ZEB1	turquoise
RP11-20F24.2	blue
RN7SL314P	blue
ATP8A2P1	blue
TMEM161BP1	blue
LINC00993	blue
ANKRD30A	blue
TACC1P1	blue
LINC00839	turquoise
RET	blue
CXCL12	turquoise
C10orf10	turquoise
ANXA8L1	grey
PTPN20	grey
ANXA8	grey
CH17-360D5.3	grey
ARHGAP22	turquoise
VSTM4	turquoise
C10orf128	turquoise
OGDHL	grey
DKK1	grey
BICC1	turquoise
MYPN	grey
SRGN	turquoise
PALD1	turquoise
PRF1	turquoise
ADAMTS14	turquoise
PLAU	turquoise
C10orf55	turquoise
CDHR1	turquoise
RGR	grey
SNCG	turquoise
ACTA2-AS1	turquoise
ACTA2	turquoise
RBP4	turquoise
LOXL4	turquoise
PAX2	blue
TLX1	grey
INA	grey
COL17A1	turquoise
ADRA2A	turquoise
PLEKHS1	turquoise
VWA2	turquoise
C10orf82	blue
PLPP4	turquoise
HTRA1	turquoise
CPXM2	turquoise
NKX1-2	grey
DPYSL4	turquoise
CFAP46	blue
VENTX	turquoise
RP11-326C3.2	turquoise
PGGHG	turquoise
IFITM5	turquoise
IFITM1	turquoise
CRACR2B	turquoise
MUC6.3	blue
MUC2.1	blue
MUC5AC.1	grey
RP11-532E4.2	grey
MUC5B	turquoise
TNNI2	turquoise
MIR7847	turquoise
PRR33	turquoise
LSP1	turquoise
TNNT3	turquoise
H19_1.1	turquoise
MIR675	turquoise
H19_2.1	turquoise
AC132217.4	turquoise
IGF2	turquoise
INS-IGF2	turquoise
TH	grey
ASCL2	turquoise
KCNQ1OT1	turquoise
HBB	turquoise
OR52Q1P	grey
CCKBR	turquoise
RP11-732A19.5	turquoise
DCHS1	turquoise
GVINP1	turquoise
OLFML1	turquoise
OVCH2	turquoise
MRVI1	turquoise
DKK3	turquoise
RASSF10	turquoise
ABCC8	blue
SAA2-SAA4	turquoise
SAA2	turquoise
SAA1	turquoise
FIBIN	turquoise
BBOX1	turquoise
WT1	grey
PAMR1	turquoise
C11orf96	turquoise
RP11-613D13.8	turquoise
SYT13	turquoise
CREB3L1	turquoise
APLNR	turquoise
PRG2	turquoise
SERPING1	turquoise
GLYATL2	turquoise
MPEG1	turquoise
MS4A6A	turquoise
MS4A4A	turquoise
MS4A14	turquoise
MS4A1	brown
MS4A8	blue
MS4A15	turquoise
HRASLS5	turquoise
LGALS12	turquoise
NRXN2	turquoise
RASGRP2	turquoise
SPDYC	grey
CD248	turquoise
CABP4	turquoise
GAL	grey
MRGPRF	turquoise
MYEOV	grey
AP000439.3	blue
ANO1	turquoise
FOLR1	grey
FOLR2	turquoise
SLCO2B1	turquoise
LRRC32	turquoise
THRSP	turquoise
MMP7	turquoise
MMP10	turquoise
MMP1	grey
MMP3	turquoise
MMP12	turquoise
MMP13	turquoise
LAYN	turquoise
CRYAB	turquoise
ZBTB16	turquoise
NNMT	turquoise
TAGLN	turquoise
RP11-728F11.4	turquoise
FXYD6-FXYD2	turquoise
FXYD6	turquoise
TMPRSS13	grey
TMPRSS4	grey
SCN4B	turquoise
JAML	turquoise
MCAM	turquoise
C1QTNF5	turquoise
MFRP	turquoise
TRIM29	turquoise
GRIK4	blue
MIR100HG	turquoise
RP11-664I21.6	turquoise
ROBO4	turquoise
KIRREL3-AS1	turquoise
RP11-115C10.1	turquoise
ETS1	turquoise
FLI1	turquoise
TMEM45B	blue
ADAMTS15	blue
AP004372.1	blue
NTM	turquoise
B3GAT1	turquoise
RP11-627G23.1	turquoise
IQSEC3.1	turquoise
CRACR2A	turquoise
CCND2	turquoise
RP11-319E16.2	grey
VWF	turquoise
CD4	turquoise
P3H3	turquoise
C1S	turquoise
C1R	turquoise
CD163	turquoise
SLC2A3	turquoise
MFAP5	turquoise
A2ML1	grey
A2M	turquoise
OLR1	turquoise
MGP	turquoise
C12orf60	turquoise
PIK3C2G	turquoise
KCNJ8	turquoise
BCAT1	grey
LRMP	turquoise
TMTC1	turquoise
MUC19	blue
NELL2	turquoise
COL2A1	turquoise
RND1	blue
C1QL4	grey
FAIM2	turquoise
GPD1	turquoise
ACVRL1	turquoise
GRASP	turquoise
KRT87P	grey
KRT81	grey
KRT86	grey
KRT83	grey
KRT85	grey
KRT75	grey
KRT6A	grey
KRT5	turquoise
KRT4	grey
IGFBP6	turquoise
HOXC12	grey
HOTAIR	grey
HOXC11	grey
NCKAP1L	turquoise
PDE1B	turquoise
PPP1R1A	turquoise
MUCL1	grey
AVPR1A	turquoise
WIF1	turquoise
HMGA2	grey
TRHDE-AS1	grey
RP11-81K13.1	blue
KCNC2	blue
SYT1	blue
SLC6A15	grey
LRRIQ1	turquoise
LUM	turquoise
DCN	turquoise
NTN4	grey
SLC5A8.1	grey
RP11-755O11.2	turquoise
IGF1	turquoise
ASCL1	blue
CMKLR1	turquoise
TMEM119	turquoise
SELPLG	turquoise
OAS2	turquoise
TBX5	turquoise
HRK	grey
HSPB8	grey
MSI1	grey
HCAR1	blue
TMEM132C	turquoise
FZD10-AS1	turquoise
FZD10	turquoise
P2RX2	grey
GJB2	turquoise
FLT1	turquoise
MEDAG	turquoise
FREM2	grey
RGCC	turquoise
TUSC8	turquoise
LINC01198	turquoise
OLFM4	grey
SCEL	grey
EDNRB	turquoise
POU4F1	grey
SLITRK6	grey
SLITRK5	grey
RP11-471M2.3	grey
