,MCC,Normalized MCC
9606.ENSP00000311430,21776312,1.0
9606.ENSP00000346001,21717081,0.997280026112778
9606.ENSP00000359345,20893639,0.9594663687772291
9606.ENSP00000389103,20831483,0.9566120746249411
9606.ENSP00000300651,20804749,0.9553844103629668
9606.ENSP00000278572,20742764,0.9525379687800212
9606.ENSP00000326981,20623335,0.9470536149555535
9606.ENSP00000393241,20561092,0.9441953256364071
9606.ENSP00000373404,20520759,0.9423431754651568
9606.ENSP00000454370,20298428,0.9321334117549381
9606.ENSP00000364320,20281986,0.9313783711401636
9606.ENSP00000259469,20140503,0.9248812654778275
9606.ENSP00000307940,19117280,0.8778933733131671
9606.ENSP00000317376,18092834,0.8308493192051988
9606.ENSP00000431040,18092505,0.83083421104547
9606.ENSP00000306788,15784908,0.7248659920008493
9606.ENSP00000355890,14552527,0.6682732594940778
9606.ENSP00000289371,13461184,0.6181571976007691
9606.ENSP00000341885,11161351,0.5125455127571648
9606.ENSP00000367806,11003780,0.5053096226762365
9606.ENSP00000447001,10916442,0.5012989343650109
9606.ENSP00000268661,10871495,0.4992349025858924
9606.ENSP00000429374,10798823,0.49589769837978076
9606.ENSP00000375730,10769812,0.4945654709576167
9606.ENSP00000306902,10749684,0.49364116384813
9606.ENSP00000346015,10716573,0.49212065844758285
9606.ENSP00000264995,10707757,0.491715814872601
9606.ENSP00000225430,10671801,0.4900646629236392
9606.ENSP00000413436,10618385,0.4876117223155142
9606.ENSP00000245539,10607506,0.48711214277238496
9606.ENSP00000306548,10607308,0.4871030503236728
9606.ENSP00000384952,10573152,0.48553455699936704
9606.ENSP00000296674,10572410,0.4855004832774255
9606.ENSP00000363018,10569469,0.48536542826902923
9606.ENSP00000354739,10522524,0.48320964541654254
9606.ENSP00000292574,10493061,0.4818566614952982
9606.ENSP00000463784,10360836,0.47578469669244267
9606.ENSP00000298283,10356768,0.47559788820072013
9606.ENSP00000354525,10330439,0.4743888221292935
9606.ENSP00000428223,10302542,0.4731077512114999
9606.ENSP00000272418,10275642,0.4718724639874741
9606.ENSP00000418221,10252497,0.47080961183877235
9606.ENSP00000362208,10194775,0.4681589334318869
9606.ENSP00000315017,10155394,0.466350500488788
9606.ENSP00000053468,10117512,0.46461090381144426
9606.ENSP00000490263,9948285,0.4568397532144102
9606.ENSP00000414321,9894551,0.454372209582596
9606.ENSP00000292586,9867879,0.4531473924510266
9606.ENSP00000362744,9867584,0.45313384562087466
9606.ENSP00000388107,9553019,0.4386885621403661
9606.ENSP00000355228,9509378,0.4366845037855813
9606.ENSP00000255631,8976640,0.41222039801780946
9606.ENSP00000420714,8823217,0.4051749901452551
9606.ENSP00000308897,8808633,0.4045052715997089
9606.ENSP00000258955,8789037,0.40360539470595386
9606.ENSP00000309334,8289538,0.38066767228537135
9606.ENSP00000370125,8236929,0.3782517902939671
9606.ENSP00000260102,8218647,0.377412254196211
9606.ENSP00000379888,8168630,0.3751154006243114
9606.ENSP00000428085,8011642,0.36790628275348003
9606.ENSP00000431822,7829941,0.35956230788757987
9606.ENSP00000464342,7740112,0.3554372292241221
9606.ENSP00000379506,7733368,0.35512753491041094
9606.ENSP00000274606,7696378,0.3534289001737301
9606.ENSP00000481697,7573678,0.34779433725967923
9606.ENSP00000377640,7505264,0.3446526666223372
9606.ENSP00000478982,7440486,0.3416779664068002
9606.ENSP00000470972,7308813,0.3356313502488392
9606.ENSP00000309830,7160546,0.3288227134144661
9606.ENSP00000346027,7075492,0.32491690971363746
9606.ENSP00000346088,7031705,0.3229061468259639
9606.ENSP00000496044,6888262,0.31631903510566894
9606.ENSP00000495273,6575590,0.3019606809454236
9606.ENSP00000404375,6129206,0.2814620767740653
9606.ENSP00000336702,5977633,0.2745016235990741
9606.ENSP00000358812,5892244,0.27058043620976774
9606.ENSP00000348849,5691973,0.2613836998661665
9606.ENSP00000452763,5632718,0.25866262386394906
9606.ENSP00000302886,5583029,0.2563808325303201
9606.ENSP00000243253,5567712,0.25567745355595567
9606.ENSP00000430706,5437032,0.2496764374059299
9606.ENSP00000386655,5368437,0.24652645498466408
9606.ENSP00000345957,5307524,0.24372924120484682
9606.ENSP00000322439,4939157,0.22681329143337034
9606.ENSP00000346037,4767472,0.2189292658922227
9606.ENSP00000410746,4587355,0.21065803061601984
9606.ENSP00000307567,4546282,0.20877189856574427
9606.ENSP00000456218,4322766,0.19850771792762706
9606.ENSP00000492441,4175790,0.1917583656957156
9606.ENSP00000263629,4148110,0.19048725973433886
