gene_id	colors
RP11-54O7.1	brown
RP11-54O7.2	brown
ISG15	brown
RP11-465B22.8	red
TNFRSF18	blue
TNFRSF4	blue
MXRA8	turquoise
ANKRD65	turquoise
GABRD	blue
PLCH2.1	turquoise
RP3-395M20.8.1	blue
TNFRSF14.1	blue
LINC00982	turquoise
PRDM16	turquoise
CA6	turquoise
RBP7	turquoise
TNFRSF8	turquoise
TNFRSF1B	turquoise
PDPN	turquoise
RP11-5P18.5	yellow
C1orf64	yellow
HSPB7	turquoise
MFAP2	blue
PADI2	green
PADI3.1	grey
ACTL8	brown
IGSF21	turquoise
KLHDC7A	yellow
PAX7	brown
RNF186	turquoise
PLA2G2A	turquoise
PLA2G2D	blue
UBXN10	turquoise
ALPL	turquoise
EPHA8	yellow
C1QA	blue
C1QC	blue
C1QB	blue
NCMAP	turquoise
RUNX3	blue
EXTL1	blue
FAM110D	turquoise
ZNF683	blue
CD164L2	blue
FGR	blue
IFI6	brown
LAPTM5	blue
NKAIN1	yellow
TINAGL1	turquoise
COL16A1	turquoise
LCK	blue
CSMD2	blue
GJB3	green
GJA4	turquoise
CLSPN	brown
COL8A2	turquoise
CSF3R	blue
GRIK3	yellow
DNALI1	yellow
RSPO1	turquoise
EPHA10	yellow
HEYL	turquoise
CITED4	blue
EDN2	red
CLDN19	turquoise
TMEM125	red
TIE1	turquoise
CDC20	brown
ARTN	brown
KIF2C	brown
TSPAN1	yellow
CYP4B1	turquoise
CYP4Z2P	yellow
CYP4X1	turquoise
CYP4Z1	yellow
PDZK1IP1	green
TAL1	turquoise
TRABD2B	turquoise
TTC39A-AS1	yellow
GPX7	blue
RP11-334A14.5	turquoise
PODN	turquoise
SLC1A7	turquoise
TTC22	green
PCSK9	grey
C1orf168	yellow
TACSTD2	green
KANK4	turquoise
SGIP1	blue
DEPDC1	brown
PTGER3	turquoise
NEGR1	turquoise
ERICH3	turquoise
SLC44A5	grey
ST6GALNAC5	green
AK5	turquoise
GIPC2	turquoise
PTGFR	turquoise
IFI44L	blue
ADGRL4	turquoise
CLCA2	grey
CLCA4	turquoise
LINC01140	turquoise
GBP4	turquoise
GBP5	blue
TGFBR3	turquoise
RP11-286B14.1	turquoise
PLPPR4	turquoise
PALMD	turquoise
GPR88	turquoise
VCAM1	blue
S1PR1	turquoise
COL11A1	blue
NTNG1	blue
NBPF4	yellow
RP11-483I13.2	yellow
SLC25A24P1	yellow
NBPF5P	yellow
RP11-131J3.1	yellow
NBPF6	grey
KIAA1324	yellow
AC000032.2	turquoise
GSTM1	turquoise
GSTM2	turquoise
GSTM5	turquoise
KCNA2	turquoise
CD53	blue
CHI3L2	turquoise
KCND3	turquoise
OLFML3	turquoise
CASQ2	turquoise
CD2	blue
VTCN1	green
TBX15	turquoise
HMGCS2	turquoise
TXNIP	turquoise
RP11-433J22.2	turquoise
GJA5	turquoise
HORMAD1	brown
RORC	yellow
IVL	brown
S100A9	grey
S100A8	brown
S100A7A	brown
S100A7	brown
S100A2	brown
S100A14	red
S100A1	blue
NPR1	turquoise
RP11-350G8.9	turquoise
SHE	turquoise
TDRD10	turquoise
MUC1	red
RAB25	red
RHBG	yellow
IQGAP3	brown
RP11-284F21.9	yellow
RP11-284F21.10	yellow
NES	turquoise
CRABP2	red
PEAR1	turquoise
FCRL5	blue
FCRL3	blue
FCRL2	blue
FCRL1	blue
KIRREL	turquoise
CD1C	blue
MNDA	blue
IFI16	turquoise
CADM3	turquoise
ACKR1	turquoise
CADM3-AS1	turquoise
FCER1A	turquoise
IGSF9	red
LINC01133	green
ATP1A2	turquoise
VANGL2	blue
SLAMF6	blue
CD84	blue
SLAMF1	blue
CD48	blue
SLAMF7	blue
LY9	blue
NECTIN4	red
ADAMTS4	turquoise
MPZ	turquoise
FCGR2A	blue
HSPA6	blue
FCGR3A	blue
FCGR2C	blue
HSPA7	blue
FCGR2B	blue
FCRLA	blue
OLFML2B	turquoise
DDR2	turquoise
RGS4	turquoise
RGS5	turquoise
NUF2	brown
RXRG	turquoise
RCSD1	blue
DPT	turquoise
SELP	turquoise
SELL	blue
SELE	turquoise
RP1-79C4.4	blue
PRRX1	turquoise
FMO2	turquoise
RP1-127D3.4	turquoise
MYOC	turquoise
TNN	turquoise
PAPPA2	turquoise
ASTN1	turquoise
BRINP2	grey
ANGPTL1	turquoise
TDRD5	red
LAMC2	turquoise
NMNAT2	turquoise
HMCN1	turquoise
PTGS2	grey
BRINP3	grey
RGS1	blue
RGS2	turquoise
CFH	turquoise
ASPM	brown
LHX9	brown
PTPRC.1	blue
KIF14	brown
IGFN1	turquoise
PKP1	turquoise
LAD1	red
RP11-307B6.3	turquoise
LMOD1	turquoise
PTPN7	blue
LGR6	turquoise
UBE2T	brown
ADORA1	turquoise
MYBPH	blue
CHI3L1	blue
CHIT1	blue
BTG2	turquoise
FMOD	turquoise
PRELP	turquoise
NFASC	turquoise
BLACAT1	brown
LEMD1	brown
SLC26A9	brown
C1orf186	blue
IL20	yellow
PIGR	turquoise
C1orf116	green
C4BPB	grey
C4BPA	turquoise
CR2	blue
CR1	blue
CD34	turquoise
MIR205	grey
MIR205HG	grey
LAMB3	turquoise
G0S2	turquoise
HSD11B1	turquoise
NEK2	brown
CENPF	brown
KCNK2	turquoise
C1orf115	turquoise
MARC1	turquoise
CAPN8	yellow
LEFTY2	turquoise
STUM	turquoise
PGBD5	brown
AGT	turquoise
CAPN9	yellow
SLC35F3	turquoise
GNG4	brown
NID1	turquoise
LINC01139	grey
CHRM3	grey
GREM2	turquoise
EXO1	brown
ZNF695	brown
TRIM58	turquoise
LINC00702	turquoise
AKR1C1	turquoise
AKR1C2	turquoise
AKR1C3	turquoise
CALML5	green
